id,Num,Country,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,S
11,257,Hungary,0.08,0.51,0.02,1.49,0.2,0.09,0.97,0.07,0.49,0.1,2,1.14,9.4,0.17,1.96,0.11,1.14,0.06,1.07,0.29,0.16,-4.55,0.02,5.24,6.23,0.12,0.44,0.04,0,0.08,0.14,0.96,0,1.02,0.77,m,1.49,0.06,0.77,0.12,0.04,0.53,1.02,3647,0.16,0.95,m,3.7,1.76,0.08,-2.3,m,m,0,0,0,0,0,m,0,0,0,0,0,m,0,0,0,0,0,0,0.94,0.42,1.13,1.83,1.6,m,m,2.57,0.84,m,m,1
12,270,Poland,0.01,0.67,-0.05,0.9,0.01,0.01,0.49,1.47,0.33,0.02,0.01,0,0.02,0.01,1.49,0.03,0,0.02,0,0.33,0.01,-1.36,-0.1,3.94,0.45,0.07,2.91,2.22,1.47,1.51,2.86,0.49,1,0.04,0.02,0.74,0.89,0.03,0.02,0.69,0.51,0.63,0.93,-447,0.02,0.48,205.98,3.39,2.88,2.79,-0.04,0.12,0,0.04,0.03,0.06,0.27,0.08,0.85,0.09,1.91,0,0,0,0,247.05,12411.48,2587.32,3629.69,81.56,154.42,1.04,1.03,1.05,1.1,0.27,0.93,m,1.09,1.17,-1.19,37.32,1
13,276,Poland,0.33,0.57,0.19,1.34,0.25,0.4,0.74,2.14,0.43,0.41,0.72,0.19,0.23,0.7,1.74,0.7,0.19,0.4,0.15,0.18,0.57,-97.64,0.75,3.52,0.27,0.95,3.09,3.01,2.14,2.14,56.18,0.44,1,0.08,0.19,m,1.34,0.42,0.2,1.31,0.56,1.7,1.75,622,0.76,0.03,m,3.04,3.81,8.53,0.11,1.44,0,0.23,0.11,0.39,16.93,0.4,-4.91,0.3,0.56,0,0.01,0.01,0,10050.16,10664.38,10239.43,10579.13,4280.67,17094.65,6.75,5.63,2.24,2.49,41.25,-494.97,m,3.42,1.61,-38.03,9.55,1
14,290,Poland,0.29,0.28,0.34,2.67,0,0.35,2.57,2.14,0.72,0.36,1.7,0.18,0.19,1.36,3.57,1.23,0.16,0.34,0.13,0.72,1.13,-50.3,0.76,3.52,0.12,0.48,8.81,6.46,0,2.15,7.2,0.79,0,0.39,0.16,36.07,2.63,0.38,0.18,1.95,0.21,1.59,1.76,1123,0.4,0.1,270.04,4.67,10.43,4.73,0.19,-1.72,-0.18,-0.17,-0.08,-0.59,-2.21,-0.81,3.05,-0.3,-0.48,0,0.01,0,0,1986.31,4090.53,3809.91,4147.8,1429.97,3160.38,1.11,1.05,1.29,1.14,1.56,2.05,0.6,1.4,1,2.62,0.6,1
15,366,Poland,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0,0,0,0,0,0,0,0,0,0,0,1
16,405,Poland,-0.02,0.21,0.18,1.85,-0.02,-0.02,3.7,1.15,0.77,-0.01,-0.07,0.09,-0.01,0.5,4.78,-0.07,-0.01,-0.01,-0.01,0.79,0.5,48,0.29,2.46,0.15,-0.02,9.39,9.39,1.15,1.95,m,0.77,1,0.87,-0.01,m,1.85,0.1,0.09,1.85,0.21,1.27,1.27,52,-0.02,0,m,5.57,5.48,1.88,0.1,-0.49,3.83,0.03,0.03,0.15,m,0.15,1.95,0.08,-2.1,0,0,0,0,837.61,-42877.77,6303.03,-43771.06,649.08,1062.31,0.54,0.86,0.75,0.65,0.09,0.24,m,0.38,0.39,0.29,-0.21,1
17,415,Poland,0.32,0.19,-0.02,0.3,0,0.39,4.33,0,0.81,0.39,15.07,m,-0.77,2.1,5.33,-0.03,m,-0.01,m,0.81,1.7,9.67,-0.02,5.02,m,-0.01,0.29,0.04,0,0,0.05,0.97,m,0.15,m,m,0.3,-0.01,m,0.04,0.03,0.82,0.98,-1927,0.39,0.2,m,0,0,0,0.05,-0.81,0,-0.39,m,-2.1,-2.44,-15.07,-2062.31,-50.61,73.95,0.01,0,0.01,0,14.08,29.07,-2151.16,-2150.69,11.44,11.53,0,0.08,6.65,0.19,0.58,m,0,0.16,0.47,-20.64,-0.38,1
18,12,Poland,0.03,0.62,0.34,1.63,0.1,0.03,0.62,4.2,0.38,0.05,0.06,0.01,0.01,0.07,1.62,0.07,0.01,0.04,0.01,0.28,0.05,-3.17,2.7,5.74,0.14,0.11,7.79,6.73,8.24,4.21,5.07,0.47,1.96,0.09,0.01,0.06,0.8,0.05,0.01,1.41,0.53,3.03,3.7,188592,0.07,0.22,9.39,11.03,7.86,33.46,-0.03,3.74,0.85,0.01,0,0.01,0.09,0.01,-0.57,0.01,0.18,0,0.14,0,0,350.3,3895.41,2840.92,3276.28,133.47,1062.75,1.01,1.01,1.06,1.07,0.82,2.14,1.07,1.12,1.14,1.43,-0.71,2
19,19,Poland,0,0.85,0,0.99,0.04,0.07,0.2,0.81,0.17,0.04,0.18,0.21,0.02,0.2,1.18,0.02,0.09,0.02,0,0.13,0.11,0.58,-0.01,6.27,0.95,0.11,1.92,0.94,0,0.82,0.32,0.6,0,0.18,0.02,-0.01,0.33,0.12,0.15,0.48,0.41,0.29,1.02,-6609.26,-0.02,2.55,2.98,12.89,1.95,1.37,-0.43,-0.03,0.68,0.15,0.18,0.17,0.34,0.35,6.25,0.35,7.9,0,0.04,-0.01,0,3119.78,7308.15,4502.8,28809.81,530.87,900.7,m,m,m,m,m,-0.12,m,m,m,m,m,2
20,21,Poland,0.09,0.64,0.27,1.45,0.08,0.13,0.56,6.41,0.36,0.12,0.22,0.02,0.02,0.22,1.56,0.15,0.02,0.1,0.01,0.28,0.15,7.47,2.33,5.26,0.09,0.28,10.34,9.85,0,6.41,17.49,0.39,0,0.15,0.02,0.25,0.88,0.11,0.02,1.38,0.61,3.07,3.33,49384.63,0.24,0.09,18.4,14.37,10.5,54.75,-0.01,-1.67,-0.18,-0.05,-0.01,-0.08,-1.69,-0.08,-16.91,-0.06,-0.52,0,0.14,0.01,0,925.4,2481.47,3073.14,3361.12,332.57,2842.48,1.24,1.22,1.13,1.14,88.94,-4.38,1.24,1.23,1.05,1.3,-0.03,2
21,29,Czech Republic,-0.65,0.42,0.35,1.89,0.26,-0.59,1.36,1.03,0.58,-0.58,-1.48,-0.57,-0.36,-1.38,2.36,-1.37,-0.57,-0.58,-0.63,0.31,-1.53,230.62,1.41,5.86,0.03,-1.01,4.08,3.81,0.52,1.04,22.94,0.6,0.51,1.4,-0.57,-6.35,1.64,0,0,1.77,0.4,2.3,2.41,256355,-1.13,0.05,10.07,11.1,2.59,4.11,0.16,m,m,0,0,0,0,0,m,0,0,-0.25,0.39,-164.76,0.1,3080.71,-3029.58,m,-3042.71,1772.99,7091.13,1.15,1.19,1.02,1.05,1.28,m,1.48,0.71,1.09,m,m,2
22,30,Poland,0.02,0.61,0.04,1.17,0.25,0.07,0.64,0.7,0.39,0.05,0.32,0.19,0.08,0.22,1.64,0.09,0.1,0.05,0.03,0.15,0.14,2.97,0.05,6.12,0.79,0.13,2.99,1.09,0,0.72,0.44,0.78,0,0.28,0.08,0.25,0.76,0.11,0.16,0.43,0.22,0.53,1.05,50326.77,0.06,0.99,7.7,6.51,3.13,0.94,-0.09,0.23,0.6,0.1,0.14,0.17,0.26,0.45,4.79,0.39,1.92,0,0.02,0.01,0,1057.3,5824.32,3655.11,7897.59,414.04,559.54,0.91,0.94,1.04,1.02,0.66,1.09,1.03,0.87,0.86,1.56,-0.34,2
23,43,Poland,0.02,0.74,0.07,1.14,-0.01,0.08,0.38,1.79,0.28,0.05,0.18,0.07,0.03,0.17,1.36,0.07,0.05,0.05,0.01,0.29,0.08,1.72,0.14,5.44,0.37,0.18,3.72,2.38,0.16,1.8,0.96,0.55,0.09,0.16,0.03,0.07,0.54,0.09,0.05,0.73,0.47,0.61,1.18,18395,0.07,0.95,6.33,9.98,3.8,3.86,-0.13,0.17,0.39,0.11,0.06,0.15,0.42,0.24,47.86,0.21,2.19,0,0,0,0,525.51,1770.53,1557.63,2876.88,147.69,318.78,0.86,0.9,1.04,0.9,0.33,1.1,0.78,1.11,1.1,0.81,-2.4,2
24,45,Poland,0.08,0.49,0.54,2.94,0.08,0.13,1.04,2,0.51,0.11,0.46,0.08,0.06,0.31,2.04,0.23,0.06,0.11,0.04,0.43,0.22,8.55,2.89,5.28,0.23,0.22,6.8,3.84,0,2,0.86,0.72,0,0.17,0.06,0.13,0.67,0.14,0.07,1.66,0.28,2.74,3.89,103409.17,0.16,0.42,3.18,14.41,7.21,10.77,-0.05,-1.32,-0.45,-0.06,-0.03,-0.12,-0.28,-0.22,-10.82,-0.07,-0.53,0,0,0,0.01,1652.64,6628.76,5988.41,7424.06,840.86,4526.42,1.2,1.22,1.19,1.08,0.97,3.28,1.05,1.23,1.1,1.1,0.74,2
25,63,Poland,0.04,0.67,0.15,1.33,0.01,0.05,0.48,1.88,0.33,0.07,0.12,0.05,0.04,0.14,1.48,0.1,0.03,0.07,0.02,0.31,0.13,-3.98,0.38,5.09,0.34,0.21,3.98,2.69,0,1.88,1.82,0.55,0,0.09,0.04,0.2,0.88,0.11,0.06,0.9,0.45,0.82,1.38,18507.25,0.13,0.67,9.1,5.24,4.13,4.76,-0.03,0.58,0.61,0.07,0.04,0.1,0.32,0.16,2.2,0.12,1.03,0,0.01,0,0.07,1551.88,9495.17,4519.01,7363.04,505.68,1279.94,1.01,0.99,1.25,1.08,1.54,m,0.94,1.17,1.18,2.61,-1.27,2
26,68,Poland,0.07,0.36,0.11,1.44,0.3,0.1,1.78,0.7,0.64,0.09,0.37,0.21,0.14,0.41,2.78,0.24,0.14,0.09,0.1,0.35,0.35,19.29,0.18,5.52,0.29,0.14,2.36,1.71,0.17,0.7,3.48,0.74,0.25,0.8,0.13,2.43,1.32,0.14,0.2,1.04,0.26,1.03,1.19,37569,0.11,0.15,23.42,5.1,2.68,1.12,0.15,1.4,1,0.05,0.07,0.14,0.52,0.2,2.12,0.14,0.59,0,0,0,0.02,1601.68,10654.44,7386.76,11789.89,1028.15,1644.25,1.24,1.22,1.25,1.28,1.39,5.48,2.17,1.23,1.59,1.04,0.58,2
27,79,Poland,0.04,0.51,0.23,1.95,0.01,0.07,1.05,0.83,0.53,0.06,0.31,0.13,0.07,0.21,1.96,0.11,0.09,0.06,0.05,0.52,0.14,4.62,0.43,5.41,0.56,0.11,3.28,1.54,0.28,0.84,0.79,0.8,0.34,0.23,0.07,0.15,0.89,0.09,0.11,0.92,0.24,1,1.51,58438,0.07,0.51,3.26,5.24,3.46,1.55,-0.04,1.09,0.98,0.03,0.04,0.07,0.13,0.14,-81.71,0.07,0.6,0,0.01,0,0.04,525.44,3821.75,3113.83,4939.45,280.46,525.96,0.99,1,0.99,0.9,0.86,m,0.93,0.98,0.64,62.3,-0.04,2
28,87,Poland,0.03,0.75,0.06,1.1,0.03,0.04,0.34,1.84,0.25,0.05,0.06,0.03,0.02,0.08,1.34,0.06,0.02,0.04,0.02,0.22,0.07,-5.11,0.2,4.86,0.4,0.17,2.91,2.41,1.84,1.85,3.39,0.38,1,0.02,0.02,0.12,0.71,0.06,0.03,0.91,0.62,0.8,1.2,4624,0.12,0.51,7.44,4.31,2.97,5.81,-0.1,15.3,8.95,0,0,0,0.02,0,0.48,0,0.05,0,0.01,0,0.03,1011.14,6617.15,4117.98,5797.91,255.1,806.08,1.11,1.11,1.03,1.01,0.93,7.1,0.86,1.13,1.04,0.19,-1.6,2
29,90,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
30,95,Poland,0.12,0.39,0.52,2.51,0.45,0.16,1.54,1.16,0.61,0.15,0.46,0.15,0.15,0.45,2.54,0.39,0.14,0.15,0.1,0.15,0.35,27.43,3.85,5,0.3,0.25,2.92,2.56,0.42,1.16,5.01,0.66,0.36,0.13,0.13,0.19,0.72,0.17,0.15,2.2,0.34,4.49,4.85,51629,0.19,0.08,1.87,5.76,3.36,8.55,-0.1,-20.22,-3.15,-0.01,-0.01,-0.01,-0.12,-0.02,-0.86,-0.01,-0.04,0,0,0,0,1709.21,6532.46,6054.64,6779.83,1036.69,7668.79,1.09,1.1,1.08,1.02,0.99,3.05,1.02,1.01,0.81,0.04,0.4,2
31,97,Poland,0.1,0,0.5,m,0.35,0.02,m,1.08,0.61,0,m,0.01,0,m,m,m,0.01,0,0.09,0.26,m,0,1.01,5.04,-0.05,0,m,m,0.56,1.08,m,0.61,0.52,m,0,0.32,m,0.02,0.01,m,0,1.22,1.22,54418,0.16,0,3.56,7.46,m,2.18,0.18,m,m,0,0,m,m,m,0,0,m,0,0.01,0,0.07,1279.44,48996.26,51770.01,m,778.02,1562.42,1.05,1.05,1.04,1.06,m,5.24,1.04,1.05,0,0,-1.74,2
32,102,Hungary,0.06,0.58,0.28,2.19,0,0.07,0.73,1.37,0.42,0.08,0.29,0.05,0.05,0.12,1.73,0.12,0.05,0.07,0.04,0.42,0.11,-9.59,0.57,4.94,0.4,0.16,5.6,2.25,0,1.37,0.73,0.77,0,0.23,0.05,0.24,1.09,0.09,0.07,0.88,0.23,0.86,1.57,24261,0.15,0.82,5.35,6.83,5.89,2.8,0.02,m,m,0,0,0,0,0,m,0,0,0,0.01,0,0.05,1021.32,6310.08,4612.82,6393.1,429.4,877.56,1.04,1.03,1,0.95,1.21,m,0.84,1.13,0.51,m,m,2
33,109,Poland,0,0.63,0.23,1.45,-0.44,0,0.59,0,0.37,0,0,m,m,0.02,1.59,0,m,0,m,0.82,0.02,m,0.9,4.59,m,0,0,0,0,0,1.21,0.49,m,0.18,m,0,0.27,0,m,1.18,0.51,1.45,1.9,8964,0,0.31,0,0,0,0,33.69,0,-0.66,-0.02,m,-0.03,-0.14,-0.03,-0.53,-0.02,m,0,0,0,m,0,m,m,m,0,0,m,m,m,m,m,m,m,m,m,m,m,2
34,110,Poland,0.03,0.7,0.08,1.19,0.04,0.04,0.46,1.42,0.32,0.07,0.1,0.09,0.05,0.18,1.44,0.1,0.03,0.07,0.02,0.28,0.16,-2.17,0.17,4.97,0.47,0.21,3.15,1.96,1.42,1.43,0.45,0.58,1,0.07,0.05,0.08,0.27,0.15,0.11,0.74,0.43,0.66,1.21,7891,0.1,0.83,3.58,16.11,3.29,2.94,-0.24,0.46,1.21,0.07,0.05,0.1,0.26,0.16,20.86,0.13,1.02,0,0.02,0,0.03,1243.19,9638.39,2648.81,5912,397.6,821.97,1.92,2.05,1.89,1.7,0.79,m,1.81,1.57,2.33,5.72,-0.09,2
35,117,Poland,-0.06,0.98,-0.14,0.84,-0.06,-0.02,0.02,1.93,0.02,-0.03,-0.02,0,-0.02,-0.01,1.02,-0.04,-0.01,-0.03,-0.03,0.08,-0.05,-2.36,-0.53,5.15,0.49,-1.77,2.22,2.02,0,1.95,3.72,0.11,0,0.11,-0.02,-0.14,0.37,-0.02,-0.01,0.76,0.89,0.07,0.4,-20522.16,-2.99,4.57,4.67,8.32,2.17,7.09,-0.29,-0.34,0.06,0.17,0.09,0.17,1.91,0.19,-12.62,0.23,-4.94,0,0.01,0,0.08,3882.32,-3946.04,-3181.83,-2198.45,75.92,278.29,1.09,1.16,1.15,1.1,-0.54,-7.92,0.9,1.75,1.8,-3.68,0.37,2
36,132,Poland,0.02,0.56,0.22,1.43,0.05,0.02,0.79,1.59,0.44,0.03,0.05,0.03,0.02,0.08,1.79,0.05,0.02,0.03,0.01,0.39,0.07,-3.48,0.87,4.63,0.33,0.07,3,2.79,1.59,1.59,8.13,0.48,1,0.07,0.02,0.04,0.6,0.05,0.03,1.33,0.52,1.72,1.87,9438,0.04,0.09,3.69,5.71,3.05,6.19,-0.13,-0.56,-0.65,-0.03,-0.02,-0.06,-0.85,-0.06,1.06,-0.04,-1.06,0,0.01,0,0.2,433.76,7874.04,3671.15,6215.8,191.09,745.1,1.03,1.01,1.13,1.17,0.44,1.61,1.2,1.32,3.29,0.61,-0.55,2
37,147,Poland,-0.1,0.79,-0.1,0.83,0.01,-0.09,0.21,2.02,0.17,-0.07,-0.15,-0.02,-0.03,-0.05,1.27,-0.09,-0.04,-0.07,-0.05,0.16,-0.07,3.64,-0.21,4.85,0.38,-0.42,3.52,2.69,2.02,2.05,2.69,0.36,1,0.18,-0.04,m,0.83,-0.02,-0.01,0.63,0.6,0.34,0.71,-7334,-0.59,1.1,m,5.15,3.34,4.03,-0.05,-1.16,0.53,0.09,0.04,0.11,0.46,0.14,-7.13,0.17,-1.22,0,0,0,0,4267.99,-8151.6,-29058.71,-10186.44,721.56,1442.64,1.27,1.34,0.9,0.89,-2.72,m,m,0.87,0.95,0.65,-2.05,2
38,154,Poland,0.12,0.6,-0.11,0.79,-0.14,0.15,0.66,2.04,0.4,0.14,0.28,0.07,0.07,0.24,1.66,0.23,0.07,0.14,0.06,0.54,0.2,20.22,-0.19,4.43,0.29,0.34,3.61,3.18,2.04,2.05,3.48,0.47,1,0.03,0.07,0.71,0.48,0.21,0.1,0.7,0.53,0.69,0.81,-2935,0.3,0.18,12.09,8.54,3.84,3.52,-0.15,0.65,0,0.18,0.09,0.31,2.54,0.35,-59.36,0.44,1.34,0,0.02,0,0.01,1285.47,3491.97,2414.78,3729.37,511.03,882.26,1.06,1.03,1.07,0.99,1.97,5.11,0.92,1.05,1.2,16.24,0.02,2
39,169,Poland,0.05,0.42,0.22,1.87,0.05,0.07,1.36,1.46,0.58,0.07,0.26,0.08,0.05,0.27,2.36,0.16,0.05,0.07,0.04,0.52,0.24,-11.84,0.41,4.54,0.22,0.11,5.61,3.3,1.46,1.47,2.17,0.75,1,0.54,0.05,0.6,1.52,0.11,0.08,1.1,0.25,1.08,1.41,7481,0.09,0.3,16.46,6.01,5.86,2.74,0.1,0.7,0.64,0.08,0.05,0.18,0.43,0.3,-0.92,0.16,1.15,0,0.01,0,0.07,825.14,7196.02,4159.43,7200.98,475.24,892.69,0.98,1,0.92,0.83,0.73,m,0.93,0.86,0.71,2.64,-0.92,2
40,176,Poland,0.03,0.64,0.08,1.19,0.03,0.03,0.54,1.24,0.35,0.05,0.07,0.09,0.05,0.18,1.55,0.09,0.02,0.06,0.02,0.32,0.18,-3.03,0.15,4.58,0.49,0.17,2.94,1.87,0,1.26,0.62,0.59,0,0.08,0.05,0.08,0.36,0.15,0.12,0.75,0.41,0.68,1.14,2880.95,0.08,0.67,3.64,10.94,3.03,2.4,-0.23,0.36,1.19,0.07,0.06,0.12,0.32,0.18,10.93,0.15,1.23,0,0.02,0,0.04,532.97,6965.22,1248.64,3085.35,186.56,362.26,1.09,1.11,1.4,1.04,0.93,1.09,0.95,1.38,1.16,-1.93,-0.61,2
41,191,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
42,195,Poland,0.03,0.67,0.1,1.17,0.03,0.04,0.49,1.4,0.33,0.05,0.07,0.05,0.04,0.1,1.49,0.07,0.03,0.05,0.02,0.3,0.09,-3.2,0.31,4.3,0.47,0.14,2.36,2.04,1.4,1.41,3.32,0.42,1,0.03,0.03,0.07,0.53,0.08,0.06,1,0.58,1.06,1.35,1927,0.08,0.28,3.83,4.85,2.43,4.49,-0.2,0.35,0.4,0.08,0.06,0.12,0.84,0.13,28.31,0.12,1.65,0,0,0,0.03,564.62,4730.94,2387.41,3941.87,186.38,596.85,1.06,1.06,1.01,0.98,1.12,0.94,1.1,0.86,1.02,-4.23,0.36,2
43,197,Poland,0.03,0.6,0.13,1.23,0.03,0.05,0.67,2.52,0.4,0.06,0.08,0.03,0.02,0.13,1.67,0.08,0.02,0.05,0.01,0.38,0.1,-4.05,0.4,4.1,0.2,0.12,4.53,4.14,0,2.52,4.37,0.45,0,0.18,0.02,0.06,0.41,0.08,0.03,1.13,0.55,1.27,1.44,1610.03,0.07,0.13,5.61,20.05,4.61,7.96,-0.13,0.89,1.04,0.03,0.01,0.05,0.6,0.06,1.76,0.05,0.64,0,0,0,0.07,675.6,6002.44,3370.78,5623.69,271.92,860.84,1,0.99,1.1,1.13,1.03,2.01,1.22,0.9,1.21,0.63,0.68,2
44,200,Poland,0.03,0.48,0.12,1.35,0.03,0.04,1.09,4.87,0.52,0.04,0.11,0.02,0.01,0.2,2.09,0.09,0.01,0.04,0.01,0.49,0.18,-6.55,0.23,3.76,0.07,0.08,13.88,10.14,4.87,4.88,2.55,0.65,1,0.43,0.01,0.21,0.94,0.1,0.02,0.98,0.35,0.99,1.23,696,0.06,0.25,34.29,27.35,13.97,9.19,0,0.25,0.46,0.12,0.02,0.25,0.95,0.35,6.99,0.26,2.89,0,0.02,0,0.04,216.79,2992.63,1157.47,2691.34,113.29,213.62,0.98,1.07,0.98,0.84,0.09,2.17,0.78,0.74,0.9,-2.59,-0.2,2
